;Unnamed: 0;Unnamed: 0.1;id;userName;date;score;url;title;text;replyDate;replyText;version;thumbsUp;app;wordCount;language;sentiment;w
0;148;174;gp:AOqpTOFF5hiXod-durMPSAjltziZrCsACNQzx9iIU7SBIFSMW6VJNQxG4VS2QDVIu-UBj-8Pzm75plGiXnyIlp8;mihai leonte;2020-11-19 14:29:32.601000+00:00;1;https://play.google.com/store/apps/details?id=eu.daikin.remoapp&reviewId=gp:AOqpTOFF5hiXod-durMPSAjltziZrCsACNQzx9iIU7SBIFSMW6VJNQxG4VS2QDVIu-UBj-8Pzm75plGiXnyIlp8;;out of home controller has delays. device setup is a nightmare;;;2.4.1;2;eu.daikin.remoapp;11;en;NEUTRAL;0.022727272727272728
1;2860;5023;gp:AOqpTOEXq60-CXsMCNJtTR5ZAEtcEG3GfbJiM0UnqwVKAvWxm_TsVKb1x8t2QGtCLhcgfT5bzLWlwatRgxBggA;DavieT Photos;2019-03-29 00:14:17.685000+00:00;1;https://play.google.com/store/apps/details?id=com.sony.songpal&reviewId=gp:AOqpTOEXq60-CXsMCNJtTR5ZAEtcEG3GfbJiM0UnqwVKAvWxm_TsVKb1x8t2QGtCLhcgfT5bzLWlwatRgxBggA;;"So disappointed support for dn850 was removed. App says ""use the remote!"" So you have that level of support to look forward to.";;;5.12.0;1;com.sony.songpal;23;en;POSITIVE;0.0019230769230769232
2;10;17;gp:AOqpTOFLEX_ZhYSlEw4MfzAd0wQl5rn2dumnrSj8g06PLtezCDE05pWFmMCuLGhmECxQ3yPCqDVykSHcBGFKVg;Neil O'Dowd;2019-07-27 00:52:11.806000+00:00;5;https://play.google.com/store/apps/details?id=eu.airpatrol.android&reviewId=gp:AOqpTOFLEX_ZhYSlEw4MfzAd0wQl5rn2dumnrSj8g06PLtezCDE05pWFmMCuLGhmECxQ3yPCqDVykSHcBGFKVg;;2019 Update : Just downloaded the new version and now I can use my Airpatrols with Alexa and it works great. 5 stars, well done. Controlling two heat pumps on two levels of my house. Works great. Wish it could be set in 1 degree Fahrenheit increments though. Would love integration with Amazon Echo too.;2016-07-13T11:44:05.975Z;Thank you for your feedback, Neil! We recently released a new app update which enabled choosing setpoint temperature in 1 degree Fahrenheit increments. We're also working on our public API, so that AirPatrol could be integrated with Amazon Echo.;2019.07.26.r72;8;eu.airpatrol.android;55;en;POSITIVE;0.125
3;516;639;gp:AOqpTOHfYcOn72UfM8e826QtJ3G8IGCia8fiTSCOeGFh7l48CqR1rHJEJxnKp4UX8Ks85w1jyBEeq3qYfUPclw;Julie Gareth;2019-08-10 11:42:54.151000+00:00;3;https://play.google.com/store/apps/details?id=com.yamaha.av.musiccastcontroller&reviewId=gp:AOqpTOHfYcOn72UfM8e826QtJ3G8IGCia8fiTSCOeGFh7l48CqR1rHJEJxnKp4UX8Ks85w1jyBEeq3qYfUPclw;;Can't get Alexa or Google to connect, keeps saying setup failed, check router settings ... That's not helpful !! Its connected to the router ok, plays Internet radio.;;;;0;com.yamaha.av.musiccastcontroller;28;en;NEGATIVE;0.006329113924050633
4;181;233;gp:AOqpTOFtxyE4AW9jygwqmsVAhqAWkaSq_NJcGMlgp-wTKw3f6ngILggj454g63e0oyL7bl5AQNTMeWYaX7T5uw;Dug Stokes;2021-04-09 16:35:27.683000+00:00;3;https://play.google.com/store/apps/details?id=it.hoover.wizard&reviewId=gp:AOqpTOFtxyE4AW9jygwqmsVAhqAWkaSq_NJcGMlgp-wTKw3f6ngILggj454g63e0oyL7bl5AQNTMeWYaX7T5uw;;Updated review, previously one star. NFC wasn't reliable and would require rebooting and accurate placement. It finally works really easily! This app has all good features. However, one of the worst experiences was installing the dishwasher, installing the app, signing up, then having to unplug and disconnect the entire dishwasher again to get to the serial number, which has been thoughtfully printed on the back. Thanks for that. Not bad. Still says my dishwasher could wash my clothes better.;2021-04-12T10:38:36.741Z;"Hi Dug,
we are sorry you are disappointed. Can you give us more information? If you explain the problem in more detail, we can figure out what's going on. You can contact us at support@candy-hoover.com.
Julian";2.6.1;2;it.hoover.wizard;79;en;POSITIVE;0.025
5;6433;16124;gp:AOqpTOGEcgRuvHzhJM3jAUeoC83wFsplPXTq81tex7FO5kVzNqSbrp91UROEVG_vJ-udZqBIvGc3xCGuMzqixQ;Thomas Ellis;2019-11-10 09:34:37.228000+00:00;5;https://play.google.com/store/apps/details?id=com.microsoft.xboxone.smartglass&reviewId=gp:AOqpTOGEcgRuvHzhJM3jAUeoC83wFsplPXTq81tex7FO5kVzNqSbrp91UROEVG_vJ-udZqBIvGc3xCGuMzqixQ;;Xbox is better than PS 4;;;1906.0627.0045;0;com.microsoft.xboxone.smartglass;6;en;POSITIVE;8.670019074041963e-05
6;1351;1555;gp:AOqpTOE8LOwQImj0Ccn9irNIfZJJMMZlzrmdDcjZZtkmxamuR0YbrHTdqXajtxqayG3qHrIt7UCezgXftIzBMCU;Doris Perkins;2021-01-02 00:43:30.319000+00:00;1;https://play.google.com/store/apps/details?id=com.neatorobotics.android&reviewId=gp:AOqpTOE8LOwQImj0Ccn9irNIfZJJMMZlzrmdDcjZZtkmxamuR0YbrHTdqXajtxqayG3qHrIt7UCezgXftIzBMCU;;Will not connect to phone or wifi!;2021-04-14T17:13:49.891Z;Hi there! We're sorry to hear about the difficulties you are experiencing with connecting your Neato robot to your WiFi. Would you kindly contact our customer care team and let us know where the connection process is failing at so we can help you get your Neato robot connected ASAP! - https://neatorobotics.com/customer-care/;2.9.2;0;com.neatorobotics.android;7;en;NEUTRAL;0.002304147465437788
7;386;652;gp:AOqpTOGe8Ro5h4-JimKA9XsJ6ZV94wh0UtExzrSy8zBV_0WkJ_ma0V99iRQ2st1INk4n2SCtTaT9Trxm_OXD;Scraps G;2019-01-04 06:03:05.178000+00:00;5;https://play.google.com/store/apps/details?id=com.remotefairy4&reviewId=gp:AOqpTOGe8Ro5h4-JimKA9XsJ6ZV94wh0UtExzrSy8zBV_0WkJ_ma0V99iRQ2st1INk4n2SCtTaT9Trxm_OXD;;Works great. tried several apps before this, all full of ads or didnt support my tv. 5 stars all round. a big thank you to the devs!;;;4.6.9;0;com.remotefairy4;27;en;POSITIVE;0.0013422818791946308
8;1141;1297;gp:AOqpTOHl0hhmSRnd2Cs0W2BKNbvcpvdnRXA0p_CiWnCcUW-Dgy0McX6B_VNB-AtBwmvcVQQBtTgSBqQwkyTSLw;Alex Marshall;2021-01-19 21:28:46.828000+00:00;1;https://play.google.com/store/apps/details?id=com.sdi.ihomecontrol&reviewId=gp:AOqpTOHl0hhmSRnd2Cs0W2BKNbvcpvdnRXA0p_CiWnCcUW-Dgy0McX6B_VNB-AtBwmvcVQQBtTgSBqQwkyTSLw;;Doesnt properly support Android. Says I'm not connected to Wifi. Worked before and suddenly wont. Tried multiple phones.;;;3.3.5;0;com.sdi.ihomecontrol;18;en;NEGATIVE;0.002976190476190476
9;19;23;gp:AOqpTOH-athpV-vulZu8Ae_iVhrQTAZ_sUPmjA1OGu4TOOHBzRBtoFMULvDc1WcFdcBHLw9Zdk1JXOqISzKs1Q;Djuro Zivko;2019-02-24 19:39:22.826000+00:00;5;https://play.google.com/store/apps/details?id=com.tomtop.smart&reviewId=gp:AOqpTOH-athpV-vulZu8Ae_iVhrQTAZ_sUPmjA1OGu4TOOHBzRBtoFMULvDc1WcFdcBHLw9Zdk1JXOqISzKs1Q;;after exhange mobile phone blud preassure monitor works perfect.;;;2.4.5;2;com.tomtop.smart;9;en;POSITIVE;0.07692307692307693
